Moniker,Main Url,Bias,Reliability,Mediatype,has_wikipedia_page,wikipedia_title,wikipedia_avg_daily_views,wikipedia_interest_score,source_prominence_score,robust_influence_score
Rumble with Michael Moore,https://www.michaelmoore.com/archive,-22.14,24.95,Podcast/Audio,False,,,0.0,30,9.0
Salon,http://salon.com,-13.48,32.98,Web/Articles,True,Salon.com,150.0,1.4952732240437157,30,10.05
Scripps News (website),https://scrippsnews.com/,-1.72,43.68,Web/Articles,True,Scripps News,364.0,3.6424316939890713,50,17.55
Scripps News: Weekend,https://www.scrippsnews.com/shows/scripps-news-weekend,-5.11,44.33,TV/Video,True,Scripps News,364.0,3.6424316939890713,50,17.55
Sky News,https://news.sky.com/,-0.78,41.79,Web/Articles,True,Sky News,752.0,7.521284153005464,50,20.26
Slate,https://slate.com/,-12.68,35.38,Web/Articles,True,Slate,486.0,4.864262295081968,70,24.4
SmartLess,https://www.smartless.com/episodes,-15.97,35.5,Podcast/Audio,True,SmartLess,262.0,2.6189071038251366,30,10.83
Socialist Alternative,http://socialistalternative.org,-23.8,26.17,Web/Articles,False,,,0.0,30,9.0
Straight Arrow News,https://san.com,1.22,39.5,Web/Articles,True,Joe Ricketts,159.0,1.590792349726776,50,16.11
Talking Points Memo,http://talkingpointsmemo.com/,-11.79,35.81,Web/Articles,True,Talking Points Memo,48.0,0.47800546448087433,30,9.33
Tangle,https://www.readtangle.com,1.58,43.04,Web/Articles,True,Godtube,28.0,0.27939890710382514,30,9.2
Teen Vogue,http://teenvogue.com,-15.5,37.79,Web/Articles,True,Teen Vogue,155.0,1.5487704918032787,30,10.08
The American Conservative,https://www.theamericanconservative.com,14.44,31.63,Web/Articles,True,The American Conservative,135.0,1.351120218579235,30,9.95
The American Spectator,http://spectator.org,22.83,17.64,Web/Articles,True,The American Spectator,86.0,0.856639344262295,30,9.6
The Atlantic,https://www.theatlantic.com/,-9.31,38.05,Web/Articles,True,The Atlantic,1014.0,10.138060109289619,30,16.1
The Ben Shapiro Show,https://www.dailywire.com/show/the-ben-shapiro-show,19.62,25.39,Podcast/Audio,True,The Ben Shapiro Show,87.0,0.8704918032786886,50,15.61
